"locationId","locationName","publicLocationName","latitude","longitude","offline","pm01","pm02","pm10","pm003Count","atmp","rhum","rco2","tvoc","wifi","timestamp","tvocIndex","noxIndex","heatindex","publicPlaceName","publicPlaceUrl","publicContributorName","timezone","model","firmwareVersion"
89,"Prem Tinsulanonda International School 1","Prem Tinsulanonda International School 1",18.96255421231335,98.91562786546136,FALSE,67.67,108.33,111,5118.33,28.65,49.88,436,195.79732,-80,"2025-03-29T03:45:03.000Z",193.83,2,29.2,NA,NA,NA,"Asia/Bangkok","I-9PSL-DE","3.2.0"
2827,"NW Cloverdale","NW Cloverdale",38.80778,-123.018863,FALSE,NA,2,NA,NA,9.8,84,413,NA,-71,"2025-03-29T03:43:55.000Z",NA,NA,10,NA,NA,NA,"America/Los_Angeles",NA,NA
3790,"Kaenoisuksa School 1, Chiang Dao, Chiang Mai","Kaenoisuksa School 1, Chiang Dao, Chiang Mai",19.394767432705724,98.92874614493202,FALSE,3,3,3,563,28.34,47.94,NA,2078,-52,"2025-03-29T03:42:41.000Z",NA,NA,28.6,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
3797,"Chomthong School 1, Chomthong, Chiang Mai","Chomthong School 1, Chomthong, Chiang Mai",18.435156957109033,98.67718182473789,FALSE,74,128,132,18761,29.97,46.52,NA,2646,-57,"2025-03-29T03:42:44.000Z",NA,NA,30.5,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
3799,"โรงเรียนขุนยวมวิทยา","โรงเรียนขุนยวมวิทยา",18.83658958412909,97.93999695256035,FALSE,81,147,149,21300,28.05,58.7,NA,627,-63,"2025-03-29T03:42:56.000Z",NA,NA,29.4,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
3800,"Khunyuam Wittaya School 2, Khunyuam, Maehongson","Khunyuam Wittaya School 2, Khunyuam, Maehongson",18.837399394128656,97.93995071660461,FALSE,90,159,167,23799,32.75,46.52,NA,3931,-71,"2025-03-29T03:45:00.000Z",NA,NA,34.9,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
3804,"โรงเรียนเสริมงามวิทยาคม","โรงเรียนเสริมงามวิทยาคม",18.050391606682883,99.23346803905622,FALSE,96,160,174,23672,31.67,44.68,NA,13531,-76,"2025-03-29T03:44:55.000Z",NA,NA,32.7,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
3805,"Soemngamwitthayakhom School 2, Some-Ngam, Lampang","Soemngamwitthayakhom School 2, Some-Ngam, Lampang",18.279805533636747,99.48051196520771,FALSE,107,175,182,27253,31.79,44.12,NA,950,-60,"2025-03-29T03:42:40.000Z",NA,NA,32.7,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
3816,"Bartlett IL, West Side","Bartlett IL, West Side",41.97603,-88.20921,FALSE,1,2.82137,2,360,23.192184,46.132603,417,NA,-47,"2025-03-29T03:44:16.000Z",NA,NA,23.3,NA,NA,NA,"America/Chicago","8PSL",NA
51363,"Srikranuanwittayakom school 1, Kranuan, Khon Kaen","Srikranuanwittayakom school 1, Kranuan, Khon Kaen",16.721984416175946,103.08173493955674,FALSE,34,57,68,9223,35.2,45.88,NA,511,-50,"2025-03-29T03:44:25.000Z",NA,NA,39.6,NA,NA,NA,"Asia/Bangkok","8PSL","9.5.2"
51432,"Bears' Cave","Bears' Cave",48.3924669,-89.3070117,FALSE,NA,2,NA,NA,-2,92,425,NA,-69,"2025-03-29T03:44:17.000Z",NA,NA,-2.2,NA,NA,NA,"America/New_York","UNKNOWN",NA
51948,"Watkhemapirataram school 1, Mueang, Nonthaburi","Watkhemapirataram school 1, Mueang, Nonthaburi",13.823306342907303,100.50341971861289,FALSE,37,58,72,6788,31.61,68.3,NA,2016,-62,"2025-03-29T03:43:15.000Z",NA,NA,38.7,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
51960,"Suwannaramwittayakom school 1, Bangkok Noi, Bangkok","Suwannaramwittayakom school 1, Bangkok Noi, Bangkok",13.76312579330489,100.47612901861227,FALSE,32,52,63,9258,32.69,66.79,NA,1010,-45,"2025-03-29T03:44:38.000Z",NA,NA,41.2,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
51961,"Kasetsart university laboratory school 1, Chatuchak, Bangkok","Kasetsart university laboratory school 1, Chatuchak, Bangkok",13.850829210818615,100.56881779163187,FALSE,29,48,61,7285,32.23,68.81,NA,2191,-35,"2025-03-29T03:44:07.000Z",NA,NA,40.6,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
51962,"Nuannoradit school 2, Phasi Charoen, Bangkok","Nuannoradit school 2, Phasi Charoen, Bangkok",13.723905641056973,100.46672554559318,FALSE,28,47,60,6790,33.53,68.28,NA,386,-68,"2025-03-29T03:43:01.000Z",NA,NA,44.4,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
52011,"Rajaphat Yala University","Rajaphat Yala University",6.549012748332888,101.2896306111374,FALSE,15,26,26,2616,26.76,82.37,NA,293,-61,"2025-03-29T03:43:38.000Z",NA,NA,29.4,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
52046,"Quesada, Merced","Quesada, Merced",37.329075,-120.436491,FALSE,NA,2,NA,NA,14.8,79,407,NA,-72,"2025-03-29T03:45:01.000Z",NA,NA,15,NA,"www.seen.team","SEEN","America/Los_Angeles",NA,NA
52564,"Severn","Severn",39.12406,-76.70745,FALSE,NA,1,NA,NA,20.5,46,265,93.979355,-14,"2025-03-29T03:43:54.000Z",100,NA,20.6,NA,NA,NA,"America/New_York","UNKNOWN",NA
52567,"NARIT​-OPD","NARIT​-OPD",18.85275424506312,98.95834692689932,FALSE,72,126,131,18880,32.66,48.42,NA,1868,-51,"2025-03-29T03:43:45.000Z",NA,NA,35.2,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
53319,"NARIT ASTROPARK (Parking)","NARIT ASTROPARK (Parking)",18.85345541310349,98.95760600870581,FALSE,73,118,125,20804,33.07,49.26,NA,5245,-73,"2025-03-29T03:43:03.000Z",NA,NA,36.2,NA,NA,NA,"Asia/Bangkok",NA,"9.5.2"
